1,6.1533,470.2895,train
2,5.6506,284.4649,train
3,5.4921,242.7554,train
4,5.3479,210.1647,train
5,5.1866,178.8641,train
6,5.0955,163.2819,train
7,5.0591,157.4518,train
8,4.9868,146.4733,train
9,4.9635,143.0870,train
10,4.8915,133.1487,train
11,4.8240,124.4680,train
12,4.8115,122.9185,train
13,4.7251,112.7394,train
14,4.7405,114.4964,train
15,4.6389,103.4318,train
16,4.6059,100.0708,train
17,4.5769,97.2154,train
18,4.5658,96.1370,train
19,4.5543,95.0388,train
20,4.5311,92.8584,train
21,4.5219,92.0101,train
22,4.4996,89.9830,train
23,4.4906,89.1706,train
24,4.4756,87.8510,train
25,4.4685,87.2244,train
26,4.4592,86.4173,train
27,4.4450,85.2034,train
28,4.4285,83.8049,train
29,4.4320,84.0984,train
30,4.4170,82.8504,train
31,4.4104,82.3015,train
32,4.4052,81.8763,train
33,4.4046,81.8301,train
34,4.4039,81.7689,train
35,4.3976,81.2554,train
36,4.3921,80.8088,train
37,4.3876,80.4469,train
38,4.3835,80.1186,train
39,4.3815,79.9598,train
40,4.3786,79.7240,train
41,4.4452,85.2145,test
